측정일,PM2.5 (mg/㎥) 백석읍,PM2.5 (mg/㎥) 고읍,PM10(mg/㎥) 백석읍,PM10(mg/㎥) 고읍,O3(ppm) 백석읍,O3(ppm) 고읍,CO(ppm) 백석읍,CO(ppm) 고읍,NO2(ppm) 백석읍,NO2(ppm) 고읍,SO2(ppm) 백석읍,SO2(ppm) 고읍
2017  01월,,,,,0.021,,0.7,,0.022,,0.005,
2017  02월,35,,35,,0.026,,0.7,,0.021,,0.005,
2017  03월,48,,48,,0.034,,0.6,,0.022,,0.004,
2017  04월,33,,33,,0.044,,0.5,,0.018,,0.004,
2017  05월,30,,30,,0.051,,0.4,,0.015,,0.004,
2017  06월,22,,22,,0.051,,0.4,,0.012,,0.004,
2017  07월,22,,22,,0.039,,0.4,,0.011,,0.003,
2017  08월,10,,10,,0.031,,0.3,,0.008,,0.003,
2017  09월,15,,15,,0.031,,0.3,,0.017,,0.004,
2017  10월,27,,27,,0.025,,0.3,,0.014,,0.003,
2017  11월,39,,39,,0.019,,0.5,,0.02,,0.006,
2017  12월,48,,48,,0.014,,0.6,,0.023,,0.008,
2018  01월,47,,47,,0.019,,0.6,,0.019,,0.008,
2018  02월,38,35,38,35,0.029,0.031,0.5,0.5,0.017,0.017,0.009,0.005
2018  03월,36,33,36,33,0.039,0.039,0.4,0.3,0.016,0.011,0.006,0.003
2018  04월,25,23,25,23,0.048,0.042,0.3,0.3,0.013,0.01,0.004,0.003
2018  05월,27,23,27,23,0.051,0.044,0.3,0.3,0.01,0.008,0.004,0.003
2018  06월,28,21,28,21,0.049,0.053,0.3,0.3,0.009,0.008,0.003,0.003
2018  07월,11,11,11,11,0.027,0.032,0.3,0.2,0.007,0.006,0.004,0.003
2018  08월,10,9,14,20,0.037,0.042,0.3,0.2,0.007,0.006,0.004,0.003
2018  09월,12,10,21,27,0.032,0.033,0.4,0.2,0.008,0.007,0.004,0.003
2018  10월,21,19,40,41,0.023,0.02,0.4,0.3,0.013,0.016,0.003,0.003
2018  11월,39,43,66,74,0.019,0.014,0.5,0.6,0.02,0.029,0.002,0.003
2018  12월,34,35,60,59,0.018,0.016,0.5,0.6,0.02,-,0.004,0.004
2019  01월,46,50,81,86,0.021,0.018,0.6,0.7,0.022,0.029,0.004,0.004
2019  02월,38,39,59,64,0.029,0.028,0.5,0.5,0.017,0.025,0.004,0.004
2019  03월,46,46,69,71,0.039,0.041,0.4,0.5,0.017,0.023,0.004,0.003
2019  04월,21,16,39,39,0.041,0.04,0.4,0.4,0.013,0.018,0.003,0.003
2019  05월,25,22,52,53,0.055,0.054,0.5,0.4,0.012,0.018,0.004,0.004
2019  06월,19,15,26,29,0.043,0.044,0.4,0.3,0.009,0.013,0.003,0.003
2019  07월,20,16,24,26,0.037,0.035,0.3,0.3,0.008,0.011,0.002,0.002